"","trait_num","label"
"3",3,"I_first_person_singular"
"55",55,"black"
"75",75,"cold_of_temperature"
"187",187,"early"
"223",223,"far"
"224",224,"far"
"225",225,"far"
"255",255,"good"
"516",516,"left"
"603",603,"many"
"680",680,"narrow"
"724",724,"near"
"767",767,"old_of_person"
"880",880,"right"
"903",903,"round"
"938",938,"sharp"
"942",942,"sharp"
"988",988,"small"
"1040",1040,"soft"
"1064",1064,"straight"
"1112",1112,"the_ant"
"1130",1130,"the_bamboo"
"1192",1192,"the_bone"
"1242",1242,"the_breast_female"
"1247",1247,"the_cloud_ascertainment"
"1252",1252,"the_cloud"
"1272",1272,"the_dew"
"1315",1315,"the_dust"
"1322",1322,"the_dust"
"1353",1353,"the_earth_soil"
"1364",1364,"the_egg"
"1370",1370,"the_egg"
"1417",1417,"the_fish"
"1514",1514,"the_frog"
"1535",1535,"the_front_front_side"
"1605",1605,"the_grass"
"1652",1652,"the_hand_ascertainment"
"1666",1666,"the_head"
"1706",1706,"the_horn_keratinized_skin"
"1723",1723,"the_house"
"1725",1725,"the_house"
"1873",1873,"the_meat"
"1915",1915,"the_mountain"
"1929",1929,"the_mouse_or_rat"
"1946",1946,"the_mouth"
"1962",1962,"the_mouth"
"1978",1978,"the_mud"
"1996",1996,"the_mud"
"2059",2059,"the_needle_for_sewing"
"2067",2067,"the_nose"
"2071",2071,"the_nose"
"2084",2084,"the_rain"
"2124",2124,"the_root"
"2132",2132,"the_root"
"2164",2164,"the_rope"
"2166",2166,"the_rope"
"2230",2230,"the_shit"
"2316",2316,"the_snake"
"2357",2357,"the_son"
"2370",2370,"the_spider"
"2490",2490,"the_tail"
"2586",2586,"the_tooth_front"
"2642",2642,"the_wind"
"2650",2650,"the_wind"
"2659",2659,"the_wing"
"2733",2733,"thick"
"2742",2742,"thick"
"2804",2804,"to_be_alive"
"2861",2861,"to_burn_intransitive"
"2865",2865,"to_burn_intransitive"
"2897",2897,"to_buy"
"2898",2898,"to_buy"
"2992",2992,"to_cry_weep"
"3018",3018,"to_dig"
"3139",3139,"to_forget"
"3180",3180,"to_give"
"3198",3198,"to_hear"
"3359",3359,"to_lick"
"3510",3510,"to_scratch"
"3570",3570,"to_sing"
"3617",3617,"to_sleep"
"3682",3682,"to_stand"
